[08/01/2026 20:16:44.496 -03] [tenantId=] [---- traceId -----              ] [background-preinit               ] [INFO ] [org.hibernate.validator.internal.util.Version                         ] HV000001: Hibernate Validator 8.0.2.Final 
[08/01/2026 20:16:44.891 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.OrcamentoApplication                            ] Starting OrcamentoApplication v1.0.0 using Java 21.0.6 with PID 18604 (C:\Projetos\orcamento\target\orcamento-1.0.0.jar started by Meu Computador in C:\Projetos\orcamento) 
[08/01/2026 20:16:45.850 -03] [tenantId=] [---- traceId -----              ] [main                             ] [DEBUG] [com.example.orcamento.OrcamentoApplication                            ] Running with Spring Boot v3.4.3, Spring v6.2.3 
[08/01/2026 20:16:45.851 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.OrcamentoApplication                            ] No active profile set, falling back to 1 default profile: "default" 
[08/01/2026 20:16:52.135 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [o.s.data.repository.config.RepositoryConfigurationDelegate            ] Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
[08/01/2026 20:16:54.593 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [o.s.data.repository.config.RepositoryConfigurationDelegate            ] Finished Spring Data repository scanning in 316 ms. Found 21 JPA repository interfaces. 
[08/01/2026 20:17:02.150 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer          ] Tomcat initialized with port 8045 (http) 
[08/01/2026 20:17:02.378 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.apache.coyote.http11.Http11NioProtocol                            ] Initializing ProtocolHandler ["http-nio-8045"] 
[08/01/2026 20:17:02.412 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.apache.catalina.core.StandardService                              ] Starting service [Tomcat] 
[08/01/2026 20:17:02.412 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.apache.catalina.core.StandardEngine                               ] Starting Servlet engine: [Apache Tomcat/10.1.36] 
[08/01/2026 20:17:02.722 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]       ] Initializing Spring embedded WebApplicationContext 
[08/01/2026 20:17:02.723 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [o.s.boot.web.servlet.context.ServletWebServerApplicationContext       ] Root WebApplicationContext: initialization completed in 16461 ms 
[08/01/2026 20:17:03.162 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] Inicializando TenantLoggingFilter... 
[08/01/2026 20:17:03.162 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] Tentando carregar a classe TenantContext... 
[08/01/2026 20:17:03.163 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] ✅ TenantContext carregado com sucesso: class com.example.orcamento.security.TenantContext 
[08/01/2026 20:17:03.165 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] 🔍 ClassLoader do TenantContext: org.springframework.boot.loader.launch.LaunchedClassLoader@6193b845 
[08/01/2026 20:17:03.168 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] 🔍 ClassLoader do TenantLoggingFilter: org.springframework.boot.loader.launch.LaunchedClassLoader@6193b845 
[08/01/2026 20:17:03.168 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] 🔍 Verificando métodos de TenantContext... 
[08/01/2026 20:17:03.169 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] ✅ Método encontrado: public static java.lang.String com.example.orcamento.security.TenantContext.getTenantId() 
[08/01/2026 20:17:03.173 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] ✅ Método encontrado: public static void com.example.orcamento.security.TenantContext.setTenantId(java.lang.String) 
[08/01/2026 20:17:03.175 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] ✅ Chamada estática para TenantContext.getTenantId() retornou: null 
[08/01/2026 20:17:03.841 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.hibernate.jpa.internal.util.LogHelper                             ] HHH000204: Processing PersistenceUnitInfo [name: default] 
[08/01/2026 20:17:04.717 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.hibernate.Version                                                 ] HHH000412: Hibernate ORM core version 6.6.8.Final 
[08/01/2026 20:17:05.161 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.hibernate.cache.internal.RegionFactoryInitiator                   ] HHH000026: Second-level cache disabled 
[08/01/2026 20:17:07.120 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo ] No LoadTimeWeaver setup: ignoring JPA class transformer 
[08/01/2026 20:17:07.252 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.zaxxer.hikari.HikariDataSource                                    ] HikariPool-1 - Starting... 
[08/01/2026 20:17:08.271 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.zaxxer.hikari.pool.HikariPool                                     ] HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@c7c07ff 
[08/01/2026 20:17:08.283 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.zaxxer.hikari.HikariDataSource                                    ] HikariPool-1 - Start completed. 
[08/01/2026 20:17:09.056 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.hibernate.orm.connections.pooling                                 ] HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 8.0.33
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown 
[08/01/2026 20:17:13.838 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [o.h.engine.transaction.jta.platform.internal.JtaPlatformInitiator     ] HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration) 
[08/01/2026 20:17:14.889 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean    ] Initialized JPA EntityManagerFactory for persistence unit 'default' 
[08/01/2026 20:17:28.576 -03] [tenantId=] [---- traceId -----              ] [main                             ] [DEBUG] [com.example.orcamento.security.JwtAuthenticationFilter                ] Filter 'jwtAuthenticationFilter' configured for use 
[08/01/2026 20:17:28.579 -03] [tenantId=] [---- traceId -----              ] [main                             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Filter 'tenantLoggingFilter' configured for use 
[08/01/2026 20:17:28.755 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.springframework.data.jpa.repository.query.QueryEnhancerFactory    ] Hibernate is in classpath; If applicable, HQL parser will be used. 
[08/01/2026 20:17:34.202 -03] [tenantId=] [---- traceId -----              ] [main                             ] [WARN ] [o.s.b.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration  ] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
[08/01/2026 20:17:34.323 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer] Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService 
[08/01/2026 20:17:36.544 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver   ] Exposing 1 endpoint beneath base path '/actuator' 
[08/01/2026 20:17:36.748 -03] [tenantId=] [---- traceId -----              ] [main                             ] [WARN ] [o.s.s.c.a.w.c.AuthorizeHttpRequestsConfigurer$AuthorizationManagerRequestMatcherRegistry] One of the patterns in [api/v1/pessoas/**] is missing a leading slash. This is discouraged; please include the leading slash in all your request matcher patterns. In future versions of Spring Security, leaving out the leading slash will result in an exception. 
[08/01/2026 20:17:39.333 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.apache.coyote.http11.Http11NioProtocol                            ] Starting ProtocolHandler ["http-nio-8045"] 
[08/01/2026 20:17:46.436 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer          ] Tomcat started on port 8045 (http) with context path '/' 
[08/01/2026 20:17:46.450 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.OrcamentoApplication                            ] Started OrcamentoApplication in 63.685 seconds (process running for 77.723) 
[08/01/2026 20:17:48.574 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.config.DataInitializer                          ] Usuários já existem no banco. Nenhum usuário admin criado. 
[08/01/2026 20:19:42.462 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-1             ] [INFO ] [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]       ] Initializing Spring DispatcherServlet 'dispatcherServlet' 
[08/01/2026 20:19:42.463 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-1             ] [INFO ] [org.springframework.web.servlet.DispatcherServlet                     ] Initializing Servlet 'dispatcherServlet' 
[08/01/2026 20:19:42.465 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-1             ] [INFO ] [org.springframework.web.servlet.DispatcherServlet                     ] Completed initialization in 2 ms 
[08/01/2026 20:19:42.611 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-4             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/despesas/por-mes/2026 
[08/01/2026 20:19:42.611 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-5             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/receitas/por-mes/2026 
